host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,az_m_s2,lax_m_s2,lay_m_s2,laz_m_s2,gx_m_s2,gy_m_s2,gz_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg
1782883804.648263,14:30:04.648,9208,94.988,24.82,1010.28,0.47,0.465,-0.008,0.018,-30.298,0.038,-1.119,0.052,-18.431,2.315,455.68,-235.43,3.94,0,214,1,0.0
1782883804.648301,14:30:04.648,9209,95.453,0.0,42949672.88,-0.003,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,-11.776,0.01,-15.36,-0.01,255,249,255,-0.01
1782883804.648316,14:30:04.648,9210,130.226,0.38,34722.89,504084.481,-1542868.48,-704642.678,-771751.935,0.001,-1.536,-0.001,-0.001,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883804.648329,14:30:04.648,9211,140.556,-235.43,35903246.18,-771751.935,-117440.511,-754974.721,-1493172.225,9.865,-24.32,13.563,0.256,3.0,0.05,24.82,-300.44,0.01,214,1,0,-117.76
1782883804.648634,14:30:04.648,9214,95.047,24.82,1010.28,0.47,0.466,-0.007,-0.015,-30.298,0.038,-1.119,0.052,-18.431,2.827,455.68,-235.43,3.94,0,214,1,0.0
1782883804.648648,14:30:04.648,9215,95.514,0.0,42949672.9,-0.011,2525.606,3472.289,353089.537,-19.968,-23.543,0.394,-10.752,0.001,-11.52,0.01,-15.36,-0.01,255,11,0,0.0
1782883804.648660,14:30:04.648,9216,130.285,0.38,34722.89,520861.697,-1542868.48,-704642.678,-754974.719,0.001,-1.536,-0.001,-1.537,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,105.07
1782883804.648671,14:30:04.648,9217,140.615,-235.43,35903246.18,-771751.935,-100663.295,-402653.185,-1493172.225,9.865,-24.32,13.563,0.256,3.0,0.05,24.82,-300.44,0.01,214,1,0,-117.76
1782883804.754973,14:30:04.754,9220,95.107,24.82,1010.28,0.47,0.467,-0.005,-0.001,-30.298,0.038,-1.119,0.052,-18.431,2.571,455.68,-235.43,3.94,0,214,1,0.0
1782883804.755014,14:30:04.755,9221,95.574,0.0,42949672.91,-0.013,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,-11.52,0.01,-12.8,-0.01,255,212,255,-0.01
1782883804.755030,14:30:04.755,9222,130.345,0.38,34722.89,504084.481,-1542868.48,-704642.678,-754974.719,0.001,-1.28,-0.001,-3.073,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883804.755313,14:30:04.755,9225,95.157,24.82,1010.28,0.47,0.467,-0.004,0.014,-30.298,0.038,-1.119,0.052,-18.431,2.571,455.68,-235.43,3.94,0,214,1,0.0
1782883804.755329,14:30:04.755,9226,95.624,0.0,42949672.92,-0.003,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,-11.52,0.01,-10.24,-0.01,255,233,255,-0.01
1782883804.755341,14:30:04.755,9227,130.395,0.38,34722.89,504084.481,-1542868.48,-704642.678,-754974.719,0.001,-1.024,-0.001,-1.537,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883804.861967,14:30:04.861,9230,95.207,24.82,1010.27,0.557,0.49,0.434,-0.015,-30.298,0.038,-1.119,0.308,32.001,2.567,455.68,-237.99,3.94,0,45,2,0.0
1782883804.862013,14:30:04.862,9231,95.701,0.0,4.33,-0.042,2525.606,20249.505,336261.377,-19.968,-23.799,0.394,11.52,0.002,-3.584,0.01,-202.24,0.01,0,239,255,-0.01
